fold,test_start,test_end,n_train_days,n_test_days,n_train_rows,n_test_rows,n_features,roc_auc,accuracy_0p5,model_kind,portfolio_mode,total_return,sharpe,max_drawdown,cagr,best_threshold,best_threshold_acc
1,2023-02-28,2024-03-21,400,268,13320,9380,52,0.5059605821057459,0.5619402985074626,global,model_long_short,1.2281524781288073,3.6873491910649605,-0.2559784842031928,1.1240859052073358,0.45,0.5619402985074626
1,2023-02-28,2024-03-21,400,268,13320,9380,52,0.5059605821057459,0.5619402985074626,global,model_long_only,1.2281524781288073,3.6873491910649605,-0.2559784842031928,1.1240859052073358,0.45,0.5619402985074626
1,2023-02-28,2024-03-21,400,268,13320,9380,52,0.5059605821057459,0.5619402985074626,global,baseline_ew_long_all,1.2281524781288073,3.6873491910649605,-0.2559784842031928,1.1240859052073358,0.45,0.5619402985074626
2,2024-03-22,2025-04-16,668,268,22700,9380,52,0.5140466419852616,0.5251599147121535,global,model_long_short,-0.0684496040024094,-0.10297988397700733,-0.3442521128939112,-0.06449786847528327,0.535,0.52590618336887
2,2024-03-22,2025-04-16,668,268,22700,9380,52,0.5140466419852616,0.5251599147121535,global,model_long_only,-0.0684496040024094,-0.10297988397700733,-0.3442521128939112,-0.06449786847528327,0.535,0.52590618336887
2,2024-03-22,2025-04-16,668,268,22700,9380,52,0.5140466419852616,0.5251599147121535,global,baseline_ew_long_all,-0.04391747315718131,0.0017892383257157609,-0.3812508926295707,-0.04135053099697206,0.535,0.52590618336887
3,2025-04-17,2026-05-12,936,268,32080,9380,52,0.5311030106655866,0.5613006396588486,global,model_long_short,0.0,0.0,0.0,0.0,0.45,0.5613006396588486
3,2025-04-17,2026-05-12,936,268,32080,9380,52,0.5311030106655866,0.5613006396588486,global,model_long_only,0.0,0.0,0.0,0.0,0.45,0.5613006396588486
3,2025-04-17,2026-05-12,936,268,32080,9380,52,0.5311030106655866,0.5613006396588486,global,baseline_ew_long_all,1.1747727563358743,3.816959090717185,-0.19408910828226145,1.0762027953371622,0.45,0.5613006396588486
