strategy,days,cagr,sharpe,max_drawdown,total_return,mean_daily_return,daily_win_rate
top_long,242,-0.023066877406078823,-0.11905359405099776,-0.13547878690808857,-0.022161745365158025,-6.032576934408355e-05,0.4793388429752066
bottom_short,242,-0.14326069900240923,-1.3283222231890144,-0.18251198434838145,-0.13798777662946182,-0.0005887438361531761,0.45867768595041325
top_minus_bottom,242,-0.15661638269983802,-1.4101679395689284,-0.23377571886548898,-0.15089642363219435,-0.0006490696054972597,0.4793388429752066
top_minus_spy,242,-0.20833474168541077,-2.706479154440085,-0.21938028154363143,-0.20096148386928725,-0.000912345985399971,0.4256198347107438
ew_ranked,242,-0.07090236809355466,-0.7027099411847919,-0.15001350046118478,-0.0681870115022083,-0.00027281848225494185,0.5041322314049587
spy,242,-0.041414444228181746,-0.3727902606800473,-0.14218969127229497,-0.039804173559017,-0.00014797978394411263,0.5
ic_spearman,237,,0.24834719688469817,,,0.0035371161170000376,0.4936708860759494
